"id"	"sex"	"age"	"height"	"weight"	"headband"	"college"	"tattoos"	"tchests"	"parrots"	"favorite.pirate"	"sword.type"	"eyepatch"	"sword.time"	"beard.length"	"fav.pixar"	"grogg"
"190"	190	"female"	28	150.1	64.5	"yes"	"CCCC"	11	1	6	"Lewis Scot"	"cutlass"	1	0.17	0	"Monsters University"	11
"191"	191	"female"	25	164.38	69.1	"yes"	"CCCC"	15	23	2	"Lewis Scot"	"cutlass"	0	0.44	0	"Finding Nemo"	11
"192"	192	"male"	32	167.03	68.2	"yes"	"JSSFP"	12	6	3	"Hook"	"cutlass"	1	0.35	26	"Inside Out"	12
"193"	193	"female"	26	173.1	75.8	"yes"	"CCCC"	10	20	5	"Jack Sparrow"	"cutlass"	1	0.23	0	"Inside Out"	13
"194"	194	"male"	30	187.11	87.7	"yes"	"JSSFP"	8	5	1	"Jack Sparrow"	"cutlass"	1	0.54	17	"Inside Out"	7
"195"	195	"male"	29	196.66	90.2	"yes"	"JSSFP"	10	22	6	"Jack Sparrow"	"cutlass"	1	0.25	27	"Monsters University"	12
"196"	196	"female"	27	162.91	61.8	"yes"	"CCCC"	8	46	7	"Edward Low"	"cutlass"	1	0.43	1	"Up"	7
"197"	197	"female"	26	161.73	70.3	"yes"	"CCCC"	10	23	1	"Lewis Scot"	"cutlass"	0	0.35	1	"Up"	13
"198"	198	"female"	36	167.23	70.1	"yes"	"JSSFP"	11	4	0	"Hook"	"sabre"	0	1.6	0	"Monsters University"	15
"199"	199	"female"	33	195.78	93	"yes"	"JSSFP"	13	15	0	"Anicetus"	"cutlass"	1	0.85	0	"The Incredibles"	12
"200"	200	"female"	30	176.5	76.4	"yes"	"JSSFP"	0	8	0	"Jack Sparrow"	"cutlass"	1	0.46	0	"Inside Out"	8
"201"	201	"male"	18	178.05	70.6	"yes"	"CCCC"	14	12	1	"Anicetus"	"cutlass"	1	0.3	26	"Inside Out"	8
"202"	202	"female"	21	155.81	58.5	"yes"	"CCCC"	8	1	2	"Hook"	"cutlass"	1	0.03	0	"Inside Out"	10
"203"	203	"male"	28	185.95	77	"yes"	"CCCC"	10	10	1	"Edward Low"	"cutlass"	0	1.02	22	"Up"	12
"204"	204	"female"	35	178.5	77.3	"yes"	"JSSFP"	15	49	1	"Jack Sparrow"	"cutlass"	0	0.04	1	"Finding Nemo"	11
"205"	205	"female"	20	149.71	59	"yes"	"CCCC"	8	25	1	"Jack Sparrow"	"cutlass"	1	0	0	"Monsters, Inc."	6
"206"	206	"female"	23	161.34	58.8	"yes"	"CCCC"	9	1	1	"Hook"	"cutlass"	1	0.67	0	"Inside Out"	12
"207"	207	"female"	32	167.24	65.1	"yes"	"JSSFP"	12	2	1	"Anicetus"	"cutlass"	1	0.39	0	"Toy Story 3"	12
"208"	208	"male"	22	171.26	70.3	"yes"	"CCCC"	10	7	0	"Jack Sparrow"	"cutlass"	0	0.24	13	"Up"	11
"209"	209	"male"	27	176.3	70.2	"yes"	"CCCC"	2	2	1	"Hook"	"cutlass"	1	1.75	15	"Inside Out"	5
"210"	210	"other"	32	155.09	58.5	"yes"	"JSSFP"	10	122	0	"Jack Sparrow"	"cutlass"	1	0.17	12	"Finding Nemo"	9
"211"	211	"female"	32	157.2	60.5	"yes"	"CCCC"	12	11	3	"Lewis Scot"	"cutlass"	1	1.41	1	"Inside Out"	11
"212"	212	"female"	26	156.34	57.1	"yes"	"CCCC"	8	4	5	"Lewis Scot"	"cutlass"	0	1.38	0	"Finding Nemo"	10
"213"	213	"female"	26	150.93	62.2	"yes"	"CCCC"	7	7	0	"Blackbeard"	"cutlass"	1	0.12	0	"WALL-E"	10
"214"	214	"female"	29	183.21	78	"yes"	"JSSFP"	13	12	10	"Anicetus"	"cutlass"	1	0.16	0	"A Bug's Life"	4
"215"	215	"female"	27	187.3	80.5	"yes"	"JSSFP"	8	28	1	"Jack Sparrow"	"cutlass"	1	0.07	0	"Inside Out"	3
"216"	216	"female"	33	166.42	71.7	"yes"	"JSSFP"	7	54	2	"Blackbeard"	"cutlass"	1	0.15	1	"A Bug's Life"	11
"217"	217	"female"	34	191.52	85.8	"yes"	"JSSFP"	6	37	1	"Lewis Scot"	"cutlass"	1	0.68	0	"Inside Out"	9
"218"	218	"male"	22	179	77.3	"yes"	"CCCC"	10	11	6	"Jack Sparrow"	"cutlass"	1	0.33	26	"Inside Out"	8
"219"	219	"male"	34	194.74	87.5	"no"	"JSSFP"	1	26	0	"Blackbeard"	"banana"	1	44.37	11	"Monsters University"	14
"220"	220	"male"	28	181.82	82.9	"yes"	"CCCC"	15	52	5	"Jack Sparrow"	"cutlass"	1	0.08	33	"Inside Out"	9
"221"	221	"female"	30	155.91	57	"yes"	"JSSFP"	12	9	2	"Blackbeard"	"sabre"	1	4.4	0	"Monsters University"	11
"222"	222	"male"	24	148.73	55.4	"yes"	"CCCC"	7	37	0	"Jack Sparrow"	"cutlass"	1	1.94	12	"Inside Out"	15
"223"	223	"female"	28	135.15	45.2	"yes"	"JSSFP"	11	28	7	"Jack Sparrow"	"cutlass"	1	0.8	0	"Finding Nemo"	12
"224"	224	"female"	24	166.62	65.5	"yes"	"CCCC"	9	13	1	"Blackbeard"	"cutlass"	1	0.32	0	"Brave"	13
"225"	225	"male"	25	169.31	69	"yes"	"CCCC"	10	25	0	"Jack Sparrow"	"cutlass"	1	0.25	25	"Inside Out"	9
"226"	226	"male"	30	177.05	67.1	"yes"	"JSSFP"	11	123	1	"Jack Sparrow"	"cutlass"	0	0.13	23	"Finding Nemo"	10
"227"	227	"female"	32	178.52	74.7	"yes"	"JSSFP"	8	2	4	"Anicetus"	"cutlass"	0	0.14	0	"Finding Nemo"	12
"228"	228	"female"	26	167.45	65.2	"yes"	"CCCC"	5	12	0	"Edward Low"	"cutlass"	0	0.19	0	"Inside Out"	7
"229"	229	"female"	31	163.24	60.2	"yes"	"JSSFP"	9	21	5	"Anicetus"	"cutlass"	1	1.05	2	"Finding Nemo"	10
"230"	230	"female"	31	174	71.8	"no"	"JSSFP"	5	9	0	"Hook"	"banana"	1	39.7	1	"Inside Out"	11
"231"	231	"male"	26	175.07	72.3	"no"	"CCCC"	9	9	1	"Edward Low"	"banana"	1	1.18	14	"Inside Out"	11
"232"	232	"female"	38	161.37	64.8	"yes"	"JSSFP"	7	48	2	"Hook"	"cutlass"	1	2.15	0	"Toy Story 2"	11
"233"	233	"female"	29	174.16	71.1	"yes"	"JSSFP"	12	18	1	"Edward Low"	"cutlass"	1	0.49	0	"Inside Out"	16
"234"	234	"male"	26	170.11	70.9	"yes"	"CCCC"	8	5	1	"Jack Sparrow"	"cutlass"	0	0.21	21	"Finding Nemo"	19
"235"	235	"male"	22	173.82	72	"yes"	"CCCC"	12	7	12	"Lewis Scot"	"scimitar"	1	0.74	27	"WALL-E"	5
"236"	236	"male"	21	176.45	80.2	"yes"	"CCCC"	14	4	2	"Blackbeard"	"cutlass"	0	0.05	28	"Monsters University"	9
"237"	237	"other"	24	174.76	73.2	"yes"	"CCCC"	10	17	1	"Lewis Scot"	"cutlass"	1	0.22	15	"Brave"	15
"238"	238	"female"	29	158.21	54.4	"yes"	"CCCC"	11	63	3	"Anicetus"	"cutlass"	1	0.79	0	"The Incredibles"	13
"239"	239	"female"	40	173.33	69.8	"yes"	"JSSFP"	4	15	3	"Edward Low"	"cutlass"	1	1.01	1	"Inside Out"	11
"240"	240	"male"	35	168.78	69.5	"yes"	"JSSFP"	9	125	2	"Blackbeard"	"cutlass"	0	0.13	17	"Finding Nemo"	13
"241"	241	"female"	27	173.52	79.3	"yes"	"CCCC"	12	2	4	"Hook"	"cutlass"	1	0.6	0	"Cars"	11
"242"	242	"female"	27	163.79	63.2	"yes"	"CCCC"	16	18	1	"Hook"	"cutlass"	1	1.64	1	"Inside Out"	11
"243"	243	"female"	34	188.44	88	"yes"	"JSSFP"	7	59	7	"Hook"	"cutlass"	1	2.19	1	"Inside Out"	11
"244"	244	"male"	27	164.99	67.9	"yes"	"CCCC"	8	23	1	"Jack Sparrow"	"cutlass"	0	0.13	14	"Finding Nemo"	12
"245"	245	"male"	17	172.84	71.5	"yes"	"CCCC"	12	21	3	"Jack Sparrow"	"cutlass"	0	0.58	21	"Brave"	8
"246"	246	"female"	33	164.32	66.7	"yes"	"JSSFP"	10	101	4	"Hook"	"cutlass"	0	1.14	0	"Finding Nemo"	6
"247"	247	"male"	28	164.26	62.8	"yes"	"CCCC"	14	13	2	"Jack Sparrow"	"cutlass"	1	0.15	20	"Cars 2"	6
"248"	248	"male"	19	175.78	68.9	"yes"	"CCCC"	6	43	4	"Jack Sparrow"	"cutlass"	1	0.19	21	"Monsters, Inc."	10
"249"	249	"male"	22	182.14	77.6	"yes"	"CCCC"	12	16	2	"Blackbeard"	"cutlass"	1	1.1	22	"Up"	6
"250"	250	"female"	25	169.53	63.8	"yes"	"CCCC"	9	21	9	"Edward Low"	"cutlass"	1	0.06	0	"The Incredibles"	8
"251"	251	"male"	33	177.82	76.4	"yes"	"JSSFP"	9	1	2	"Blackbeard"	"cutlass"	0	0.01	14	"Finding Nemo"	3
"252"	252	"female"	23	177.9	80.2	"yes"	"CCCC"	6	10	4	"Jack Sparrow"	"cutlass"	1	0.95	1	"Inside Out"	10
"253"	253	"female"	37	168.14	70.5	"yes"	"JSSFP"	12	8	0	"Blackbeard"	"cutlass"	1	1.81	0	"Inside Out"	13
"254"	254	"male"	18	180.27	77.2	"yes"	"CCCC"	11	47	0	"Jack Sparrow"	"cutlass"	0	0.67	22	"The Incredibles"	6
"255"	255	"female"	28	163.97	62.5	"yes"	"CCCC"	11	6	0	"Hook"	"cutlass"	1	0.3	0	"The Incredibles"	14
"256"	256	"male"	22	195.82	88.3	"yes"	"CCCC"	4	9	3	"Jack Sparrow"	"cutlass"	1	0.52	24	"Cars"	9
"257"	257	"female"	33	154.1	59	"yes"	"JSSFP"	10	32	1	"Hook"	"cutlass"	1	0.78	0	"Inside Out"	17
"258"	258	"female"	34	171.51	66.2	"yes"	"JSSFP"	8	19	5	"Anicetus"	"cutlass"	0	0.16	1	"Finding Nemo"	11
"259"	259	"female"	20	165.28	72.7	"yes"	"CCCC"	12	10	0	"Jack Sparrow"	"cutlass"	1	1.75	0	"Finding Nemo"	9
"260"	260	"other"	31	182.44	81.7	"no"	"JSSFP"	11	17	4	"Anicetus"	"banana"	0	7.63	12	"Finding Nemo"	9
"261"	261	"male"	22	179.93	72.2	"yes"	"CCCC"	13	0	1	"Jack Sparrow"	"cutlass"	1	0.39	23	"The Incredibles"	10
"262"	262	"male"	27	178.91	74.4	"no"	"CCCC"	2	15	6	"Jack Sparrow"	"banana"	1	3.52	11	"Monsters, Inc."	5
"263"	263	"male"	27	166.41	70.3	"yes"	"CCCC"	10	0	3	"Jack Sparrow"	"cutlass"	1	0.17	24	"Monsters University"	11
"264"	264	"male"	20	175.04	75	"yes"	"CCCC"	10	1	3	"Jack Sparrow"	"cutlass"	1	0.25	25	"Inside Out"	11
"265"	265	"male"	29	183.59	82.9	"yes"	"CCCC"	15	8	0	"Jack Sparrow"	"cutlass"	1	1.67	23	"Cars 2"	12
"266"	266	"male"	22	169.02	75	"yes"	"CCCC"	9	14	1	"Jack Sparrow"	"cutlass"	1	0.15	19	"Inside Out"	8
"267"	267	"female"	32	166.98	63.3	"yes"	"JSSFP"	9	32	7	"Blackbeard"	"cutlass"	1	0.06	0	"Toy Story 3"	9
"268"	268	"female"	29	153.28	59.5	"yes"	"CCCC"	11	9	5	"Anicetus"	"cutlass"	0	1.4	1	"Up"	10
"269"	269	"female"	26	155.63	56.7	"yes"	"CCCC"	9	14	1	"Hook"	"cutlass"	1	0.32	0	"Inside Out"	11
"270"	270	"male"	27	182.72	80.8	"yes"	"JSSFP"	11	10	0	"Jack Sparrow"	"cutlass"	1	0.19	20	"Inside Out"	12
"271"	271	"female"	31	159.86	61.3	"yes"	"JSSFP"	10	12	0	"Blackbeard"	"scimitar"	1	8.59	0	"Inside Out"	12
"272"	272	"male"	26	196.75	92.5	"yes"	"CCCC"	7	16	0	"Jack Sparrow"	"cutlass"	1	0.1	13	"Toy Story 2"	13
"273"	273	"female"	24	158.51	60.6	"yes"	"CCCC"	17	28	1	"Anicetus"	"cutlass"	0	0.1	0	"Cars"	7
"274"	274	"female"	35	161.31	64.9	"yes"	"JSSFP"	8	20	1	"Lewis Scot"	"cutlass"	0	0.53	0	"Finding Nemo"	12
"275"	275	"female"	32	176.72	74.7	"yes"	"JSSFP"	17	60	1	"Anicetus"	"cutlass"	1	1.27	1	"Inside Out"	10
"276"	276	"male"	28	167.53	69.7	"yes"	"CCCC"	11	32	1	"Jack Sparrow"	"cutlass"	1	0.3	21	"Inside Out"	8
"277"	277	"male"	20	194.53	86.8	"yes"	"CCCC"	9	32	1	"Jack Sparrow"	"cutlass"	1	0.3	5	"Brave"	13
"278"	278	"female"	28	156.16	55.1	"no"	"CCCC"	9	0	2	"Blackbeard"	"sabre"	0	5.59	0	"Monsters, Inc."	11
"279"	279	"female"	26	163.98	60.3	"yes"	"CCCC"	10	54	2	"Edward Low"	"cutlass"	1	0	0	"Inside Out"	13
"280"	280	"male"	27	197.43	96.2	"yes"	"CCCC"	12	33	0	"Jack Sparrow"	"cutlass"	1	0.07	22	"Up"	8
"281"	281	"female"	36	157.46	60.5	"yes"	"JSSFP"	14	30	3	"Blackbeard"	"cutlass"	0	0.03	0	"Finding Nemo"	10
"282"	282	"female"	25	164.72	64.4	"yes"	"CCCC"	8	5	8	"Anicetus"	"cutlass"	1	0.23	0	"Inside Out"	16
"283"	283	"male"	21	182.78	82	"yes"	"CCCC"	8	35	2	"Jack Sparrow"	"cutlass"	1	2	29	"Monsters, Inc."	13
"284"	284	"male"	21	188.27	89.9	"no"	"CCCC"	2	4	7	"Jack Sparrow"	"banana"	0	4.24	12	"Monsters University"	8
"285"	285	"male"	22	172.81	76.7	"yes"	"CCCC"	4	18	0	"Jack Sparrow"	"scimitar"	0	2.65	20	"The Incredibles"	16
"286"	286	"male"	30	161.71	66	"yes"	"JSSFP"	17	47	2	"Jack Sparrow"	"cutlass"	0	0.19	34	"Finding Nemo"	8
"287"	287	"male"	30	189.5	82.8	"yes"	"JSSFP"	11	7	1	"Jack Sparrow"	"cutlass"	1	0.16	19	"Inside Out"	9
"288"	288	"male"	17	173.62	79.7	"yes"	"CCCC"	16	30	2	"Blackbeard"	"cutlass"	1	0.5	24	"Up"	8
"289"	289	"female"	22	160.45	61.4	"no"	"CCCC"	4	30	0	"Lewis Scot"	"sabre"	1	5.46	0	"Inside Out"	9
"290"	290	"male"	28	182.89	81.8	"yes"	"CCCC"	11	1	7	"Edward Low"	"cutlass"	1	0.66	23	"Up"	12
"291"	291	"female"	32	172.88	74.9	"yes"	"CCCC"	9	40	1	"Hook"	"cutlass"	0	0.33	3	"WALL-E"	9
"292"	292	"male"	29	200.62	101.6	"yes"	"CCCC"	9	2	3	"Jack Sparrow"	"sabre"	1	9.9	14	"WALL-E"	6
"293"	293	"male"	23	166.12	71.3	"yes"	"CCCC"	8	32	0	"Jack Sparrow"	"cutlass"	0	0.38	29	"Finding Nemo"	13
"294"	294	"male"	25	162.47	62.6	"yes"	"CCCC"	9	9	1	"Jack Sparrow"	"cutlass"	0	1.04	26	"Up"	12
"295"	295	"female"	33	165.84	62.3	"yes"	"JSSFP"	10	78	1	"Edward Low"	"cutlass"	0	0.17	0	"Finding Nemo"	8
"296"	296	"female"	28	159.08	66.2	"yes"	"CCCC"	6	2	1	"Edward Low"	"scimitar"	1	12.13	1	"The Incredibles"	6
"297"	297	"female"	31	156.06	55.1	"no"	"JSSFP"	6	51	3	"Hook"	"scimitar"	1	5.8	1	"WALL-E"	11
"298"	298	"female"	33	155.71	51.9	"yes"	"JSSFP"	15	15	3	"Hook"	"cutlass"	1	0	0	"A Bug's Life"	12
"299"	299	"male"	19	183.17	79.3	"yes"	"CCCC"	11	9	1	"Jack Sparrow"	"cutlass"	1	0.02	18	"The Incredibles"	8
"300"	300	"male"	32	180.37	71.4	"yes"	"JSSFP"	11	0	5	"Jack Sparrow"	"cutlass"	1	0.6	24	"Up"	13
"301"	301	"female"	38	165.55	61.3	"yes"	"JSSFP"	11	37	0	"Jack Sparrow"	"cutlass"	1	0.67	0	"Inside Out"	9
"302"	302	"male"	17	186.14	87.4	"yes"	"CCCC"	7	1	1	"Jack Sparrow"	"cutlass"	1	1.38	16	"WALL-E"	11
"303"	303	"male"	26	167	72	"yes"	"CCCC"	13	10	4	"Jack Sparrow"	"cutlass"	1	0.14	23	"Inside Out"	12
"304"	304	"male"	29	184.62	85.8	"yes"	"JSSFP"	10	44	1	"Jack Sparrow"	"cutlass"	1	0.43	13	"Inside Out"	10
"305"	305	"male"	27	151.07	55.6	"yes"	"CCCC"	6	3	5	"Blackbeard"	"cutlass"	0	0.36	15	"Finding Nemo"	7
"306"	306	"male"	38	172.25	71.5	"yes"	"JSSFP"	10	10	5	"Edward Low"	"cutlass"	1	0.14	16	"Inside Out"	10
"307"	307	"female"	37	174.85	71.7	"yes"	"JSSFP"	7	18	18	"Hook"	"cutlass"	1	0.38	1	"Inside Out"	6
"308"	308	"male"	31	166.22	66.3	"no"	"JSSFP"	6	53	1	"Jack Sparrow"	"banana"	1	13.24	18	"Monsters University"	12
"309"	309	"female"	29	163.73	67.6	"yes"	"CCCC"	13	10	1	"Edward Low"	"scimitar"	1	1.54	1	"Up"	11
"310"	310	"female"	27	166.91	66	"yes"	"JSSFP"	11	15	3	"Blackbeard"	"cutlass"	0	0.3	0	"Finding Nemo"	11
"311"	311	"female"	39	147.8	60	"yes"	"JSSFP"	14	33	13	"Jack Sparrow"	"cutlass"	1	0.04	0	"A Bug's Life"	9
"312"	312	"female"	32	164.63	62.7	"no"	"JSSFP"	8	11	2	"Edward Low"	"sabre"	1	1.38	1	"Inside Out"	10
"313"	313	"female"	36	144.34	48.9	"yes"	"JSSFP"	7	5	9	"Jack Sparrow"	"cutlass"	1	0.03	1	"Up"	9
"314"	314	"female"	28	174.65	70.5	"yes"	"CCCC"	14	135	0	"Lewis Scot"	"cutlass"	0	1.27	0	"Finding Nemo"	12
"315"	315	"female"	31	159.56	54.5	"yes"	"JSSFP"	11	18	3	"Blackbeard"	"cutlass"	0	2.25	0	"Finding Nemo"	16
"316"	316	"male"	26	178.43	74.2	"no"	"CCCC"	3	8	6	"Jack Sparrow"	"cutlass"	0	0.08	21	"Finding Nemo"	6
"317"	317	"female"	34	157.56	55.2	"yes"	"JSSFP"	11	12	12	"Blackbeard"	"cutlass"	1	0.45	0	"Inside Out"	14
"318"	318	"female"	33	156.59	55.9	"yes"	"JSSFP"	9	66	4	"Lewis Scot"	"cutlass"	0	0.57	1	"Finding Nemo"	12
"319"	319	"female"	37	169.36	71	"yes"	"JSSFP"	13	12	6	"Hook"	"cutlass"	0	1.12	1	"The Incredibles"	13
"320"	320	"male"	23	161.57	65.5	"yes"	"CCCC"	15	2	3	"Jack Sparrow"	"cutlass"	1	1.71	40	"The Incredibles"	9
"321"	321	"female"	25	181.49	79.5	"yes"	"CCCC"	14	20	1	"Jack Sparrow"	"cutlass"	1	0.18	0	"Inside Out"	5
"322"	322	"female"	25	158.35	59	"yes"	"CCCC"	9	12	1	"Lewis Scot"	"cutlass"	1	2.3	0	"Inside Out"	12
"323"	323	"other"	24	193.51	88.3	"yes"	"CCCC"	12	71	4	"Edward Low"	"cutlass"	0	0.41	9	"Finding Nemo"	14
"324"	324	"female"	24	147.54	51.1	"yes"	"CCCC"	13	18	1	"Jack Sparrow"	"cutlass"	0	0.3	0	"Finding Nemo"	12
"325"	325	"male"	34	189.02	80.9	"yes"	"JSSFP"	12	54	3	"Lewis Scot"	"cutlass"	0	0.38	17	"A Bug's Life"	6
"326"	326	"male"	24	197.98	90.5	"yes"	"CCCC"	12	1	1	"Jack Sparrow"	"cutlass"	1	0.76	26	"Inside Out"	10
"327"	327	"male"	16	167.51	68.1	"yes"	"CCCC"	9	4	2	"Lewis Scot"	"cutlass"	1	0.01	23	"Up"	8
"328"	328	"male"	15	175.63	74.1	"yes"	"CCCC"	8	9	1	"Jack Sparrow"	"cutlass"	0	0.15	31	"The Incredibles"	13
"329"	329	"female"	26	155.46	59.6	"yes"	"CCCC"	13	15	3	"Anicetus"	"cutlass"	1	0.15	3	"WALL-E"	8
"330"	330	"female"	41	156.54	57	"yes"	"JSSFP"	10	2	0	"Blackbeard"	"cutlass"	0	1.1	1	"A Bug's Life"	12
"331"	331	"male"	24	181.84	76.2	"yes"	"CCCC"	10	3	0	"Jack Sparrow"	"sabre"	1	2.77	23	"Inside Out"	11
"332"	332	"female"	34	168.62	73.6	"yes"	"JSSFP"	10	22	2	"Edward Low"	"cutlass"	1	1.06	0	"WALL-E"	8
"333"	333	"female"	24	158.27	58.8	"yes"	"CCCC"	13	2	1	"Blackbeard"	"sabre"	0	6.14	0	"Toy Story 2"	15
"334"	334	"female"	33	179.23	77.3	"yes"	"JSSFP"	10	6	3	"Blackbeard"	"cutlass"	0	0.1	0	"A Bug's Life"	15
"335"	335	"female"	31	159.8	56.4	"yes"	"JSSFP"	11	11	1	"Lewis Scot"	"cutlass"	1	0.22	0	"Cars 2"	15
"336"	336	"female"	28	158.88	61.1	"no"	"CCCC"	6	22	1	"Blackbeard"	"sabre"	0	1.45	0	"Inside Out"	2
"337"	337	"male"	26	157.64	62.7	"yes"	"CCCC"	8	27	6	"Jack Sparrow"	"scimitar"	0	7.59	20	"Finding Nemo"	9
"338"	338	"male"	25	162.19	62.3	"yes"	"CCCC"	9	139	1	"Hook"	"cutlass"	1	2.93	22	"Toy Story 2"	6
"339"	339	"male"	18	169.16	71	"yes"	"CCCC"	13	3	3	"Jack Sparrow"	"scimitar"	0	2.62	22	"WALL-E"	11
"340"	340	"female"	31	162.04	59.3	"yes"	"JSSFP"	10	6	1	"Jack Sparrow"	"cutlass"	0	0.2	2	"A Bug's Life"	10
"341"	341	"male"	30	179.01	81.9	"no"	"JSSFP"	8	12	3	"Jack Sparrow"	"banana"	0	3.64	24	"Finding Nemo"	9
"342"	342	"female"	27	156.09	62.5	"yes"	"CCCC"	12	7	2	"Edward Low"	"cutlass"	1	0.73	0	"Monsters, Inc."	11
"343"	343	"male"	26	177.86	77.7	"yes"	"CCCC"	7	24	1	"Jack Sparrow"	"cutlass"	1	0.13	21	"Monsters University"	5
"344"	344	"female"	32	183.21	87.8	"no"	"JSSFP"	7	7	1	"Lewis Scot"	"banana"	1	62.63	1	"Up"	10
"345"	345	"male"	31	173.07	71.4	"yes"	"CCCC"	10	13	2	"Lewis Scot"	"cutlass"	1	0.33	19	"Inside Out"	8
"346"	346	"female"	29	160.42	59.7	"yes"	"CCCC"	10	6	1	"Blackbeard"	"cutlass"	0	0.24	1	"The Incredibles"	7
"347"	347	"male"	26	170.34	69.9	"yes"	"CCCC"	13	5	1	"Edward Low"	"cutlass"	1	0.2	23	"Finding Nemo"	11
"348"	348	"male"	24	175.47	72.3	"yes"	"CCCC"	11	9	1	"Jack Sparrow"	"cutlass"	1	0.49	18	"Inside Out"	10
"349"	349	"male"	21	196.33	81.4	"yes"	"CCCC"	13	13	4	"Jack Sparrow"	"cutlass"	1	0.56	22	"Inside Out"	8
"350"	350	"male"	20	169.22	70.6	"yes"	"CCCC"	16	10	9	"Hook"	"cutlass"	1	0.19	24	"Finding Nemo"	10
"351"	351	"female"	36	137.43	48.5	"yes"	"JSSFP"	12	1	8	"Blackbeard"	"cutlass"	1	0.1	1	"Cars 2"	9
"352"	352	"male"	22	186.29	87.4	"yes"	"CCCC"	9	45	2	"Jack Sparrow"	"cutlass"	0	0.28	18	"Monsters University"	10
"353"	353	"female"	25	174.78	77.2	"yes"	"CCCC"	12	11	1	"Lewis Scot"	"cutlass"	1	1.66	1	"WALL-E"	4
"354"	354	"male"	25	184.39	83.9	"yes"	"CCCC"	10	5	1	"Hook"	"cutlass"	1	0.17	21	"Monsters, Inc."	11
"355"	355	"female"	28	171.99	75.1	"yes"	"CCCC"	9	5	3	"Edward Low"	"cutlass"	1	0.03	1	"Up"	3
"356"	356	"male"	21	165.42	62	"yes"	"CCCC"	10	15	1	"Jack Sparrow"	"cutlass"	1	1.23	13	"WALL-E"	11
"357"	357	"male"	30	195.14	93.9	"yes"	"CCCC"	9	15	0	"Jack Sparrow"	"cutlass"	1	0.43	21	"Inside Out"	6
"358"	358	"female"	30	160.36	61.2	"yes"	"JSSFP"	8	27	4	"Lewis Scot"	"cutlass"	1	0.46	0	"Inside Out"	16
"359"	359	"male"	33	167.16	67.2	"no"	"JSSFP"	10	41	8	"Jack Sparrow"	"sabre"	1	8.02	16	"A Bug's Life"	11
"360"	360	"male"	32	166.83	66.6	"yes"	"JSSFP"	14	32	1	"Jack Sparrow"	"cutlass"	0	0.83	37	"Up"	10
"361"	361	"male"	29	177.26	79.5	"yes"	"CCCC"	8	5	1	"Jack Sparrow"	"cutlass"	1	0.35	21	"Inside Out"	11
"362"	362	"male"	28	180.11	81.2	"yes"	"CCCC"	9	1	3	"Jack Sparrow"	"cutlass"	0	0.34	14	"WALL-E"	9
"363"	363	"male"	16	180.02	78.8	"yes"	"CCCC"	10	23	4	"Jack Sparrow"	"cutlass"	1	0.58	20	"Inside Out"	10
"364"	364	"female"	40	162.52	64.3	"yes"	"JSSFP"	8	46	4	"Hook"	"cutlass"	0	1.01	1	"Up"	14
"365"	365	"male"	28	177.32	79.8	"yes"	"CCCC"	11	5	1	"Jack Sparrow"	"sabre"	0	1.56	22	"Finding Nemo"	9
"366"	366	"female"	33	158.4	61	"no"	"JSSFP"	3	23	2	"Lewis Scot"	"banana"	0	66.74	1	"Finding Nemo"	14
"367"	367	"female"	28	162.36	64.5	"yes"	"CCCC"	10	49	3	"Edward Low"	"cutlass"	1	3	0	"Cars 2"	12
"368"	368	"female"	39	162.56	58.5	"yes"	"JSSFP"	8	46	0	"Lewis Scot"	"cutlass"	0	0.27	1	"The Incredibles"	10
"369"	369	"male"	19	164.48	64.1	"yes"	"CCCC"	13	16	1	"Jack Sparrow"	"scimitar"	1	9.92	19	"Inside Out"	16
"370"	370	"other"	35	176.64	74.6	"yes"	"JSSFP"	13	6	0	"Anicetus"	"cutlass"	0	0.7	15	"The Incredibles"	7
"371"	371	"male"	27	178.78	80	"no"	"CCCC"	4	19	3	"Jack Sparrow"	"banana"	1	23.38	14	"Brave"	9
"372"	372	"male"	25	178.51	76.6	"yes"	"CCCC"	8	31	3	"Jack Sparrow"	"cutlass"	1	0.13	21	"Up"	7
"373"	373	"female"	28	177.32	77.2	"yes"	"CCCC"	8	84	2	"Blackbeard"	"cutlass"	0	0.84	0	"Monsters University"	11
"374"	374	"male"	13	180.7	84.7	"yes"	"CCCC"	17	6	1	"Jack Sparrow"	"cutlass"	1	0.31	25	"Inside Out"	12
"375"	375	"male"	30	178.34	73.6	"yes"	"JSSFP"	12	15	0	"Jack Sparrow"	"cutlass"	0	0.09	21	"Finding Nemo"	12
"376"	376	"female"	39	173.28	73.5	"no"	"JSSFP"	3	53	5	"Hook"	"cutlass"	1	3.52	0	"Monsters University"	10
"377"	377	"female"	30	179.17	79.2	"yes"	"CCCC"	10	45	4	"Jack Sparrow"	"cutlass"	0	0.17	0	"WALL-E"	11
"378"	378	"female"	29	159	65	"yes"	"CCCC"	4	6	7	"Lewis Scot"	"cutlass"	1	0.05	0	"Monsters University"	9
"379"	379	"female"	36	178.84	80.8	"yes"	"JSSFP"	6	4	3	"Anicetus"	"cutlass"	1	0.15	3	"Inside Out"	9
"380"	380	"male"	20	176.72	71.9	"no"	"CCCC"	7	12	6	"Jack Sparrow"	"cutlass"	1	0.81	23	"Inside Out"	9
